target,theta,thetad,tau,dm,da,db
3.039147969362180346e-01,-4.019368652539282577e-02,4.649062826188807979e-02,3.943030651082771953e+00,6.284057807728066214e-01,8.423600831873105932e-01,1.194103232374009282e+00
5.736420881969021002e-01,8.847300151385029121e-02,7.524046929227519165e-01,-1.580854287537750658e+01,1.224305792187011965e+00,1.657375870789441707e+00,1.833507013057909418e+00
-1.895703546338650680e-01,-6.490780832181269888e-01,4.646718213331781366e-01,2.227710252057863372e+01,1.188916866717421250e+00,1.126251226981928255e+00,1.505684630269047863e+00
5.157419877860927038e-01,8.572826349735361839e-01,3.524746747847444794e-01,1.090479168602294813e+01,1.432586229801577460e+00,1.289964213405142557e+00,1.412826574502836552e+00
3.106507202579614768e-01,1.867341697740188822e-01,-7.222770683601643649e-01,-7.031890176494080436e+00,1.369226496134918536e+00,1.901743931857688752e+00,1.315742040894354536e+00
2.742790267708901664e-01,1.408061445817936130e+00,2.687488667269052889e-01,-1.896074082550670425e+01,9.406841675969969119e-01,1.472110295664754043e+00,1.726521044198972676e+00
7.755377104109800745e-01,-1.117595847562385503e+00,2.319898762658270941e-01,2.304723246890029031e+01,1.390393981578112559e+00,1.092538566071766359e+00,1.542278279765151972e+00
-5.816700908902545653e-01,-6.270233740720726479e-01,-5.914724225162152349e-01,-3.987131112883384620e+00,1.674985630910799772e+00,1.130394190963252443e+00,1.604232784243676990e+00
7.446555364853748582e-01,-5.705092036736018057e-01,-5.963761910756271156e-01,8.241066953786296168e+00,7.565933288364231624e-01,1.014586279770370192e+00,1.221547254920437586e+00
-5.074308690263841237e-01,-1.989050806684474274e-02,1.148421007882306943e+00,-2.406402280151541717e+01,9.330126011623433024e-01,1.273740624772766949e+00,1.436451899223275319e+00
-3.838302925753977468e-01,-3.488842622757291068e-01,6.924706926668818818e-01,-2.109278182964373016e+01,1.858043222110168591e+00,1.660891048468802422e+00,1.306701491964043393e+00
9.291725368575444177e-01,-1.289394181591076716e-01,-8.323454883629036738e-01,6.786502256969549229e+00,1.198272026121721012e+00,1.144985722874350076e+00,1.593210785417397135e+00
5.836688472628454027e-02,4.765805110498178010e-02,7.980034283792374061e-02,1.514085979688631944e+01,1.113159528838726153e+00,1.334257001290402700e+00,1.043666872353502084e+00
5.412406809903885785e-01,3.968397525783364244e-01,1.267512906481294221e+00,1.327699806111370684e+01,1.299464438843731751e+00,1.930501391265936562e+00,9.995828367905105205e-01
-2.445698694860547542e-02,-6.784843741161682151e-02,8.399226295015735921e-01,-1.042272314689608059e+01,1.717162634143821975e+00,1.324081104563060052e+00,1.426766076460386223e+00
-5.568134811418843366e-01,1.757200699390320808e-01,1.000348872673122447e-01,9.699632651441167042e+00,1.434475189214562407e+00,1.529431899132465800e+00,1.512192599398603399e+00
-1.018935389811986975e-01,3.858596378428655882e-01,1.652909539477084577e-01,-1.802440084655992081e+01,1.290695561220118526e+00,8.484557720342537079e-01,7.945488051104181437e-01
4.207272166565271809e-01,9.619745333110522045e-01,-7.898355279239656079e-01,-1.451050150859759746e+01,1.914588393955541479e+00,1.619849848680691373e+00,1.165187969822044645e+00
2.124561618099818916e-01,6.956623061502916761e-01,-3.857199877699670765e-01,1.302016579232040394e+00,1.024220469619056439e+00,1.801598356010783997e+00,1.512884191044315152e+00
2.133586831564761310e-01,2.328791403235418722e-01,1.180746094514168787e+00,2.091324882907636251e+01,1.333300596094989077e+00,1.158373851227345153e+00,1.331067382384937048e+00
-6.608455307805680690e-01,-7.263609615111196183e-01,-1.140802517428372242e+00,-2.018531362857224121e+00,1.433623220537915577e+00,1.393114278754270075e+00,9.039840907060717745e-01
5.716401704226384828e-01,-2.729378360308963303e-01,1.183237948464904932e+00,-6.512307141979365888e+00,1.449014427698920970e+00,1.345573650787565967e+00,1.255509195516381071e+00
8.574247000003657471e-01,4.840387294029452891e-01,1.727412644630024197e+00,-3.558300343852430814e+01,8.939822444777979493e-01,1.211722361403791082e+00,1.098508926284383902e+00
7.750823880676278588e-01,6.194484831355905330e-01,5.040471331947845579e-01,2.407000670690151267e+01,1.772267926687583817e+00,1.533599568480225495e+00,9.956620615977502808e-01
3.196454429104956807e-01,-2.910956523806377746e-02,8.180044544050306399e-02,3.813434851720098351e+01,9.807821525787335792e-01,1.340738072812705850e+00,9.982774020720114327e-01
2.619512618689696093e-01,8.989294323265878406e-01,1.017047263337909513e+00,2.151428663221672721e+01,1.061659480594399518e+00,1.529464219059319730e+00,1.504324554478808862e+00
4.070698227695899174e-01,2.278649522761542201e-01,6.206968973953835844e-01,-1.788000944578205420e+01,1.497616419170356927e+00,1.427025184464427499e+00,1.084926724238609586e+00
-5.300710944843260997e-01,2.987401623070135570e-01,1.619084537781475056e-02,4.581131884842580604e+00,1.463006306094537079e+00,1.375783785825559269e+00,9.421225672246865690e-01
-2.006987655949928895e-01,6.820248819542280849e-02,2.095681860280678988e-01,-3.116639455065361997e+00,1.290409371490335522e+00,1.116823333743408808e+00,8.723044905606024413e-01
-5.168772865473655331e-01,-1.733352349811030993e-02,6.239134531019658869e-01,-1.333941740264591580e+01,1.509812178262095017e+00,1.684579270175126764e+00,1.760085034364754053e+00
3.414472421628916843e-01,-3.641516051935309584e-01,6.154107945098076238e-01,-3.552805425666551997e+01,1.269410104912813475e+00,1.510585429466538399e+00,1.432199306056586963e+00
1.347376691643796809e+00,1.419377438274497250e+00,1.238235743049252574e-01,3.628276621359405141e+01,1.685705184438305970e+00,1.606070315005500460e+00,1.830066726482229233e+00
-5.967669229901595429e-01,6.039664918139432404e-01,5.343811645912225350e-01,4.901116190302121645e+00,1.247637348112358380e+00,1.221561294939606190e+00,6.945938568674523417e-01
5.038624880410599305e-01,6.908223762472242013e-01,3.186148365549179573e-02,-1.675801496547576619e+01,1.052999826195068378e+00,1.796124435163446220e+00,9.974953410897638983e-01
-3.087153541931866862e-01,-7.727977295248610323e-01,2.541768758481529125e-02,-1.430350141566974820e+01,1.229282542061006511e+00,9.170334796601729010e-01,9.841615208577062512e-01
7.182276236269958813e-01,6.437755126652243420e-02,-2.460225759230075526e-01,3.617635438201006082e+00,1.398844158051825159e+00,9.886768742397299414e-01,1.359490716182857994e+00
6.058359143792593215e-01,3.299887556470064154e-01,-3.431357442677094305e-01,4.268024502740810355e+00,9.282006454827085307e-01,8.813615437645608841e-01,1.414238409203501190e+00
-1.949239801831016417e-01,4.683185484917358754e-01,7.020860306152421071e-02,-1.966824646886913186e+01,1.439864961076913863e+00,9.959441002186574243e-01,1.718706292835666227e+00
-2.824206817001582159e-01,1.214184982101480736e+00,3.066139255395103347e-01,2.158508044791078717e+01,1.040530218847557586e+00,1.133707838667909362e+00,1.004057741481186428e+00
5.820946360522880614e-01,4.629603714035727680e-01,-2.810899174161980985e-01,1.906822123542673664e+00,9.695077151983723107e-01,1.073396633763739727e+00,1.021228094292760735e+00
-6.242523075203407767e-01,-8.515591730419004302e-01,-4.147197597487776305e-02,1.465567770843035156e+01,1.237474363549209366e+00,1.384948243561889170e+00,1.136017649483220149e+00
-3.916734003695890864e-01,1.062244079994447699e+00,3.992584288990148611e-01,-7.608965075811301437e-01,1.531963989200464171e+00,1.646337339674532885e+00,1.614222895222446441e+00
8.501939314354990396e-01,-7.751159341156614591e-02,-1.376179551089526665e-01,1.475855490456799224e+01,1.286816325659574822e+00,1.582368173222869601e+00,1.385366692472415506e+00
-1.363294262527566525e-01,-2.089039099682863387e-01,1.214186284033078378e+00,-1.099508907909690159e+01,1.532432050631985954e+00,1.027560368013187286e+00,1.319818925092292483e+00
1.065839605495440878e+00,-5.737731581577261153e-01,-7.046751319975626260e-02,-6.990261840371371882e+00,1.168532099166166960e+00,8.865892696717206922e-01,1.363251873159868621e+00
-1.719177788373638938e-01,8.256756614273955686e-01,-1.030208184261848930e-01,-2.746810876642229005e+01,8.373917369338746974e-01,1.280833269934543717e+00,1.551379155754947670e+00
-6.575726526117580129e-01,3.852130893834351255e-01,1.916026486665102668e+00,1.529448451667609454e+01,1.560246005584110085e+00,1.565929084761624734e+00,1.244099741831093509e+00
1.500928501168810082e-02,-1.737044288757300381e-01,-2.184349962864230721e-01,-3.180333403242811219e+00,1.054698918409330499e+00,1.110637923577151742e+00,1.542465447483672092e+00
5.583279708951951331e-02,3.216200383551534592e-01,-6.744063121934451566e-01,1.241328132621652180e+01,9.852398994306071911e-01,1.906622856110000486e+00,1.407302880625615371e+00
-1.028342510685487272e-02,7.689884152402471917e-01,5.879751597711395661e-01,2.429968957377195693e+01,1.285446240829812181e+00,1.439888792572155074e+00,1.002956319022566767e+00
1.212968125795833435e-01,3.138180537791527835e-01,-3.335883734841693649e-01,-2.003493448981880365e-01,1.474512722997717740e+00,1.788631352552375597e+00,1.057909382850510616e+00
-1.988606922123523912e-01,6.342213769084040775e-01,-6.530359609463660953e-02,1.366883062247997493e+01,1.192989122965552262e+00,1.359676669971679575e+00,1.038068868925062116e+00
9.458548113160424320e-01,9.767165425098174592e-02,-6.985782635745927394e-01,3.437538942226662186e+01,1.835397983957785861e+00,1.459089900870449208e+00,1.276616923713984830e+00
2.553654468281362777e-01,-1.006020542530556616e+00,1.127892686545567846e+00,-7.029159249190327863e+00,1.345989644154850895e+00,2.177411870920555881e+00,1.302924594976919925e+00
2.262397012814005570e-01,-3.291417015128870749e-01,-1.359225648054470381e-01,9.424953648279243978e+00,1.346459949659896127e+00,1.145525904336679668e+00,1.936307425024220263e+00
3.676127363779778390e-02,-3.203778500036149057e-01,6.411096320648841385e-01,-8.964010415070712057e+00,1.558097798647059440e+00,1.018216700862603297e+00,1.548377796395836059e+00
-2.018828265601831096e-01,-5.026907607047075288e-01,-1.171179805274548125e+00,2.468750058204689779e+01,9.341924091979955103e-01,1.057852859543854773e+00,1.022201350118742358e+00
8.234049215287548851e-01,6.372540182500651129e-01,6.161360856603147473e-01,-5.751684541053928790e+00,1.634959557212209980e+00,9.467204248698308788e-01,2.087603313007641681e+00
8.772295016513855792e-01,-6.926551620313681212e-01,-9.610565929462930868e-01,1.765039780128298474e+01,1.348025514180438256e+00,1.405756063627607189e+00,1.093418124519386803e+00
-3.374599549647920860e-01,7.559281514773864563e-01,1.108694250486265132e+00,-3.580427554816564939e+00,1.284179710116376771e+00,1.270586808653850319e+00,7.580770778048063763e-01
-3.387503710028630377e-01,1.261989607447108197e+00,2.638724491076875275e-02,1.242272775001577578e+01,1.527746761736162640e+00,1.154797957077027259e+00,1.188978833651409550e+00
8.683722370242918931e-02,1.471643958391934959e+00,-5.065230030188992982e-01,1.121896305022445262e+01,1.126028474053349937e+00,1.793379831098460997e+00,1.327274513226878172e+00
-1.869845291863954095e-01,-3.285396620151186942e-01,6.976183665233911535e-01,1.586955959185627840e+01,1.209212577474940709e+00,8.030886694312696639e-01,1.161673664700941799e+00
-3.403111196526394933e-01,3.529384461279740925e-01,6.389233796725938275e-01,-8.672971192861425038e+00,1.013419163020830460e+00,1.379532019766844364e+00,1.011980539891539577e+00
4.683659194713993279e-02,-5.555096157514811672e-01,-5.279668195007320569e-02,3.885768525343345203e+01,1.278868229559286140e+00,1.639886492169977172e+00,1.933775194557052934e+00
2.939754423525045013e-01,-7.628518442168263913e-02,-4.482919481596292499e-02,-1.063215227952157393e+00,1.545200229768232347e+00,1.448141774993253250e+00,1.239023787581688296e+00
3.621678469860297178e-01,-2.269689403451905785e-01,2.070147750065481629e-01,1.354158439068118902e+01,1.273667608581361854e+00,6.805591752253262738e-01,1.307283615963956702e+00
-2.780937207890640250e-01,8.212448015938367263e-01,5.105434966497076621e-01,-2.828813448681849607e+01,1.086311735058103967e+00,1.455320689381374599e+00,1.324227976866212853e+00
-7.273140579367783909e-01,6.435720425735996786e-02,-7.488648474055071835e-01,1.834498773843565189e+01,1.619396437567981240e+00,1.475677804380834957e+00,1.189072547688777570e+00
-1.726299440927233086e-01,5.094939437291008399e-01,4.120309063190803062e-02,-2.758231098860240760e+00,1.628618386831101716e+00,1.613081710760084997e+00,1.778306177589487058e+00
8.217658991839821292e-01,5.167031927796694735e-01,5.158987088186147707e-01,2.255005706336299554e+01,1.386367120221026150e+00,1.147833973303743038e+00,1.372865262511155038e+00
5.121077193436632813e-01,2.004420921959165491e-01,5.165341101643012856e-01,-1.857067650858710550e+01,1.326312082288509719e+00,1.198868812965548036e+00,1.123802542782637692e+00
-9.660381552369308178e-01,2.523249344231087155e-01,1.067534188359664737e+00,-2.743514600476757082e+01,1.700629884084378318e+00,1.149547293978159024e+00,1.577444988675486215e+00
-2.948698321860568350e-01,2.864361574064837046e-01,4.764837312581297613e-01,1.509671361327587569e+01,8.955054971637075312e-01,9.985953430095637628e-01,1.809153085509286329e+00
5.271298891574472956e-01,-1.124909831195070709e+00,5.066321201615486824e-02,-9.576825579609879568e+00,1.296016900251881099e+00,1.315829769505168834e+00,1.404654427929587390e+00
-2.129373622330101301e-01,8.243953281715276082e-01,7.336197543299801671e-01,-3.493300988929012618e+01,1.253865447795186050e+00,1.152763829126966844e+00,8.751690430901911677e-01
-5.191215880368983682e-02,6.861193569491224054e-01,6.821341102195601636e-01,-1.257687196125485762e+01,1.680372297049901098e+00,1.351574608519656495e+00,1.012010730317120411e+00
9.047853422633540532e-01,2.554231898668904432e-01,-4.374048697394187363e-02,-1.900637108876861658e+00,6.060167172611815589e-01,1.497135799020928859e+00,1.606441171308922833e+00
1.011247035983971754e-01,3.948617860533290558e-01,2.748566097168174682e-01,-2.287539194411671772e+01,1.174226511775975590e+00,1.883041330725079510e+00,1.294707316347329273e+00
9.298375495916030298e-01,8.349717260466723578e-01,5.735745691076039598e-01,-2.553158909361134477e+01,1.177848567345044950e+00,1.389620236152039112e+00,1.330868928973752530e+00
2.866266616385059196e-01,-5.563301419246647894e-01,7.076149505502719039e-01,7.781673694554747556e+00,1.193749447567934885e+00,1.330766963821058635e+00,1.099286044240746163e+00
-1.079924528718674698e-01,9.390679429668208344e-01,-5.453915304813712339e-01,-1.065652926100158382e+01,1.715417297505903216e+00,9.949856025755474676e-01,1.270202551439656657e+00
1.893966441321408845e-01,-3.407271982876161620e-01,-8.784528283714082564e-01,-1.062262682547579384e+00,1.466061624102959371e+00,1.416385580104039477e+00,1.387094897259490978e+00
-3.309040104254890591e-01,-2.143929542201564453e-01,4.298711732290127485e-01,3.135654525632786616e+01,1.486856957048311445e+00,1.442839730909779794e+00,1.453768023295972656e+00
6.845293515498884762e-01,-4.035232044455081546e-01,6.356988123023641357e-01,4.794376950987864205e-01,1.392524224697356816e+00,1.465690271507648967e+00,1.155845082584402883e+00
1.758035801023222489e-01,1.433442832258767785e+00,-1.909790669728028967e-01,3.923890672473955288e+00,9.290530452334265776e-01,1.118848539764773831e+00,1.160413542695725164e+00
2.816821759135237913e-01,6.116522840353786489e-02,5.438398506348200989e-01,1.981447599020915717e+01,1.422929886698385715e+00,1.149035218654490320e+00,1.375117753063860304e+00
-4.072706704313037718e-01,1.018291330947260098e+00,9.160044468971828557e-01,6.196718825877127301e+00,1.320377071460135499e+00,1.025722443007564211e+00,1.201859110349658089e+00
5.752458813762356682e-01,-3.598785503853755841e-01,-7.421711892002395006e-01,-7.348579185411892922e+00,1.431431160318381579e+00,1.671478976840458541e+00,1.686033915145151996e+00
2.763333848950146332e-01,-4.121630386333030582e-02,4.715909237842261237e-01,1.478933271169247909e+01,1.601013683127023635e+00,1.965624101713928873e+00,1.353565197136198384e+00
-2.684047639853724965e-01,-4.244071019927778132e-01,6.322096791720450970e-02,2.978692807507033535e+01,8.201616877834512209e-01,1.430674964572701269e+00,1.632472743097464596e+00
-8.493606575461262187e-01,2.727564658941520892e-01,2.047895538869210774e-01,1.871429027616645868e+01,1.790531194068586407e+00,9.536571253992272013e-01,8.259440975940771645e-01
1.010067924643333281e+00,-2.895942753637910649e-01,-2.278673060351301682e-01,-1.968904455233969841e+01,1.878640155220714369e+00,9.511942056317805871e-01,1.198628407306176591e+00
5.814493821743087487e-01,6.084019266459760322e-01,-4.518090632332923406e-01,9.532249684268494505e+00,7.158503678134172654e-01,8.575410565945839059e-01,9.929187905969737438e-01
3.270985310868522733e-01,-7.720977128975240467e-01,8.822678399788838055e-01,-2.263595488209102768e+01,1.487762534865005870e+00,6.405406161071812710e-01,9.302977213737827489e-01
7.039954971806158257e-01,2.466435638585846302e-01,6.645888063337365148e-01,-1.279494069252910471e+01,9.975658215924751993e-01,1.128120987431411315e+00,1.146228892698780033e+00
